h3_index,center_lat,center_lon,elevation_m,dist_to_hospital_m,elevation_risk,distance_risk,vulnerability_score,risk_category
873f59693ffffff,31.205859903376226,30.011225959389783,-1.0,1855.769480678242,0.9189189189189189,0.12179726133778222,52.03580901283505,Medium
873f59694ffffff,31.249471502087697,29.988074005347965,18.0,0.0,0.4054054054054054,0.0,20.27027027027027,Low
873f59695ffffff,31.247077204131813,30.015798537900622,12.0,0.0,0.5675675675675675,0.0,28.37837837837838,Low
873f59696ffffff,31.230056346513326,29.971931526072353,18.0,0.0,0.4054054054054054,0.0,20.27027027027027,Low
873f59698ffffff,31.201059353104654,30.066642580599716,1.0,5951.780742908597,0.8648648648648649,0.3906253455058866,62.774510518537575,High
873f59699ffffff,31.198650481939755,30.094345219613324,-1.0,8389.675238301894,0.9189189189189189,0.5506284472170093,73.47736830679641,High
873f5969affffff,31.18165356703956,30.050496975644332,-1.0,6232.6157249706375,0.9189189189189189,0.40905701606579936,66.39879674923591,High
873f5969bffffff,31.179248883802636,30.078196230584606,2.0,8330.680579488107,0.8378378378378378,0.546756528882384,69.22971833601109,High
873f5969cffffff,31.222868781960482,30.055083606203823,0.0,3893.28953185202,0.8918918918918919,0.255523117236159,57.37075045640254,Medium
873f5969dffffff,31.22046145163833,30.08279341937911,0.0,6235.74156045666,0.8918918918918919,0.40926216988773356,65.05770308898127,High
873f5969effffff,31.203462494647574,30.038936156463702,1.0,3815.7520256443804,0.8648648648648649,0.2504342007487511,55.76495328068081,Medium
873f596a3ffffff,31.3052879257969,30.06426767810293,6.0,0.0,0.7297297297297297,0.0,36.486486486486484,Medium
873f596b1ffffff,31.288290736036178,30.020374709147482,0.0,669.1121198380752,0.8918918918918919,0.04391494987535334,46.790342088362266,Medium
873f596b3ffffff,31.268882968042707,30.004221733041817,7.0,0.0,0.7027027027027026,0.0,35.13513513513513,Medium
873f5ba01ffffff,31.142345170121377,29.780444918082775,0.0,446.1729249762413,0.8918918918918919,0.02928307686432743,46.05874843781096,Medium
873f5ba08ffffff,31.118201384543255,29.819774644977095,-3.0,2351.247923824941,0.972972972972973,0.1543163419970461,56.36446574850096,Medium
873f5ba09ffffff,31.11584775732558,29.847482596593338,-3.0,4929.345253626598,0.972972972972973,0.32352119071420954,64.82470818435912,High
873f5ba0affffff,31.09875232745445,29.80367580364692,-3.0,2214.3297772759465,0.972972972972973,0.145330174560443,55.9151573766708,Medium
873f5ba0bffffff,31.0964028528854,29.831380301410263,-3.0,4178.594642129592,0.972972972972973,0.27424816980291533,62.361057138794415,High
873f5ba0cffffff,31.139998864204106,29.808163662579027,0.0,1500.301482271427,0.8918918918918919,0.09846730082816664,49.51795963600293,Medium
873f5ba0dffffff,31.13764681791259,29.835878741882127,3.0,3522.958516605316,0.8108108108108107,0.23121767202051505,52.10142414156629,Medium
873f5ba0effffff,31.120549277353103,29.79206302451892,6.0,0.0,0.7297297297297297,0.0,36.486486486486484,Medium
873f5ba18ffffff,31.081639251967395,29.75987752586628,2.0,3850.752210354104,0.8378378378378378,0.25273132153252587,54.52845796851818,Medium
873f5ba19ffffff,31.079299655033065,29.787582217860002,-3.0,3644.804947093223,0.972972972972973,0.23921465747141685,60.60938152221949,High
873f5ba1bffffff,31.05984337567056,29.771493887581446,2.0,5798.879944494463,0.8378378378378378,0.3805902098400088,60.92140238389233,High
873f5ba1dffffff,31.10109607047729,29.775967645627116,10.0,1232.565802542542,0.6216216216216216,0.08089535943517115,35.125849052839634,Medium
